,日期,星期,最高温度,最低温度,天气,风向
0,2023-01-01, 星期日 ,17℃,11℃,多云,北风 2级
1,2023-01-02, 星期一 ,17℃,10℃,多云,东风 2级
2,2023-01-03, 星期二 ,16℃,11℃,多云,北风 2级
3,2023-01-04, 星期三 ,17℃,11℃,多云,北风 3级
4,2023-01-05, 星期四 ,22℃,10℃,多云,东北风 2级
5,2023-01-06, 星期五 ,20℃,9℃,多云,东北风 3级
6,2023-01-07, 星期六 ,22℃,12℃,晴,北风 2级
7,2023-01-08, 星期日 ,18℃,13℃,多云,东南风 2级
8,2023-01-09, 星期一 ,18℃,13℃,中雨,北风 2级
9,2023-01-10, 星期二 ,16℃,14℃,小雨,北风 1级
10,2023-01-11, 星期三 ,18℃,15℃,多云,北风 2级
11,2023-01-12, 星期四 ,19℃,16℃,小雨,东风 1级
12,2023-01-13, 星期五 ,23℃,19℃,小雨,南风 3级
13,2023-01-14, 星期六 ,27℃,11℃,雾,北风 3级
14,2023-01-15, 星期日 ,14℃,8℃,阴,西北风 3级
15,2023-01-16, 星期一 ,7℃,4℃,阴,北风 4级
16,2023-01-17, 星期二 ,11℃,5℃,阴,北风 3级
17,2023-01-18, 星期三 ,14℃,6℃,多云,东风 2级
18,2023-01-19, 星期四 ,19℃,8℃,晴,北风 2级
19,2023-01-20, 星期五 ,18℃,10℃,晴,北风 2级
20,2023-01-21, 星期六 ,17℃,13℃,多云,东风 2级
21,2023-01-22, 星期日 ,23℃,14℃,多云,东南风 3级
22,2023-01-23, 星期一 ,20℃,8℃,雾,北风 4级
23,2023-01-24, 星期二 ,12℃,2℃,多云,北风 3级
24,2023-01-25, 星期三 ,12℃,8℃,多云,东风 1级
25,2023-01-26, 星期四 ,18℃,12℃,多云,北风 2级
26,2023-01-27, 星期五 ,11℃,4℃,多云,北风 5级
27,2023-01-28, 星期六 ,13℃,3℃,多云,北风 2级
28,2023-01-29, 星期日 ,16℃,3℃,晴,西北风 2级
29,2023-01-30, 星期一 ,20℃,5℃,晴,西风 2级
30,2023-01-31, 星期二 ,22℃,13℃,多云,南风 2级
31,2023-02-01, 星期三 ,26℃,14℃,多云,西风 2级
32,2023-02-02, 星期四 ,26℃,14℃,多云,东风 2级
33,2023-02-03, 星期五 ,21℃,14℃,多云,北风 1级
34,2023-02-04, 星期六 ,16℃,14℃,小雨,北风 2级
35,2023-02-05, 星期日 ,13℃,11℃,小雨,北风 1级
